Time,PreMadeLV,PreMadeCAM,MineLV,MineCAM,AlLV,AlCam
0,19.531,18.8,20.674,18.4,19.671,18
1,19.56,,20.639,,19.659,
2,19.568,,20.672,,19.668,
3,19.559,,20.644,,19.667,
4,19.55,,20.616,,19.625,
5,19.587,,20.65,,19.666,
6,20.127,,21.252,,20.382,
7,21.224,,22.297,,21.65,
8,22.468,,23.535,,23.143,
9,23.818,,24.863,,24.782,
10,25.127,30,26.25,30,26.4,31
11,26.423,,27.521,,28.005,
12,27.609,,28.718,,29.504,
13,28.752,,29.976,,30.979,
14,29.82,,31.151,,32.282,
15,30.835,,32.287,,33.542,
16,31.732,,33.267,,34.669,
17,32.586,,34.166,,35.797,
18,33.466,,35.033,,36.819,
19,34.26,,35.797,,37.788,
20,34.978,38,36.498,37,38.715,38
21,35.622,,37.052,,39.509,
22,36.206,,37.475,,40.269,
23,36.745,,37.777,,40.959,
24,37.314,,38.069,,41.631,
25,37.765,,38.47,,42.282,
26,38.203,,38.895,,42.952,
27,38.578,,39.269,,43.486,
28,38.919,,39.711,,43.958,
29,39.219,,39.93,,44.31,
30,39.555,44,40.195,40,44.727,41
31,39.828,,40.422,,45.08,
32,40.087,,40.646,,45.417,
33,40.265,,40.947,,45.734,
34,40.498,,41.193,,46.113,
35,40.675,,41.362,,46.419,
36,40.869,,41.492,,46.718,
37,41.076,,41.528,,46.935,
38,41.292,,41.725,,47.166,
39,41.477,,41.861,,47.364,
40,41.614,46,41.881,44,47.528,44
41,41.816,,41.797,,47.705,
42,42.021,,41.765,,47.796,
43,42.201,,41.789,,47.931,
44,42.328,,41.867,,48.008,
45,42.419,,41.783,,48.031,
46,42.511,,41.738,,48.136,
47,42.701,,41.875,,48.277,
48,42.756,,41.989,,48.334,
49,42.824,,41.993,,48.486,
50,42.862,49,42.007,48,48.584,45
51,42.88,,41.847,,48.624,
52,42.963,,41.597,,48.679,
53,43.034,,41.533,,48.677,
54,43.12,,41.51,,48.664,
55,43.215,,41.388,,48.602,
56,43.246,,41.172,,48.523,
57,43.283,,41.047,,48.482,
58,43.259,,40.872,,48.366,
59,43.282,,40.864,,48.324,
60,43.289,50,40.89,48,48.321,47
61,43.29,,40.882,,48.248,
62,43.356,,40.806,,48.223,
63,43.34,,40.71,,48.201,
64,43.332,,40.685,,48.205,
65,43.334,,40.69,,48.169,
66,43.357,,40.628,,48.155,
67,43.424,,40.621,,48.204,
68,43.477,,40.693,,48.261,
69,43.515,,40.697,,48.343,
70,43.537,50,40.65,50,48.431,46
71,43.588,,40.618,,48.5,
72,43.663,,40.515,,48.608,
73,43.733,,40.525,,48.674,
74,43.786,,40.54,,48.685,
75,43.839,,40.616,,48.721,
76,43.867,,40.663,,48.916,
77,43.895,,40.556,,49.103,
78,43.961,,40.509,,49.318,
79,44.027,,40.494,,49.51,
80,44.148,50,40.444,50,49.661,48
81,44.342,,40.429,,49.631,
82,44.538,,40.487,,49.581,
83,44.745,,40.557,,49.605,
84,44.945,,40.607,,49.602,
85,45.049,,40.606,,49.682,
86,45.122,,40.652,,49.756,
87,45.156,,40.841,,49.769,
88,45.204,,40.958,,49.812,
89,45.162,,40.999,,49.898,
90,45.148,49,40.971,51,50.044,48
91,45.115,,41.197,,50.161,
92,45.119,,41.536,,50.202,
93,45.13,,41.725,,50.233,
94,45.118,,41.859,,50.227,
95,45.063,,41.745,,50.224,
96,44.984,,41.62,,50.243,
97,45.001,,41.513,,50.267,
98,44.943,,41.496,,50.26,
99,44.953,,41.475,,50.267,
100,44.896,49,41.362,51,50.255,48
101,44.922,,41.363,,50.202,
102,44.887,,41.287,,50.105,
103,44.882,,41.204,,49.999,
104,44.912,,41.193,,49.891,
105,44.932,,41.187,,49.823,
106,44.911,,41.131,,49.769,
107,44.922,,41.109,,49.713,
108,44.977,,41.096,,49.733,
109,44.973,,41.025,,49.694,
110,44.826,49,41.034,51,49.652,48
111,44.81,,41.092,,49.644,
112,44.828,,41.066,,49.601,
113,44.841,,41.022,,49.589,
114,44.87,,40.994,,49.582,
115,44.783,,40.981,,49.522,
116,44.764,,41.042,,49.503,
117,44.763,,41.106,,49.465,
118,44.749,,41.143,,49.482,
119,44.784,,41.14,,49.503,
120,44.78,51,41.157,49,49.467,48
121,44.76,,41.153,,49.506,
122,44.709,,41.105,,49.507,
123,44.697,,41.155,,49.447,
124,44.639,,41.269,,49.392,
125,44.572,,41.365,,49.365,
126,44.552,,41.3,,49.321,
127,44.404,,41.171,,49.239,
128,44.355,,41.053,,49.211,
129,44.295,,40.95,,49.133,
130,44.298,50,40.813,51,49.092,48
