Wavelength,EQE,Intergrated_current
380,78.397,0.03368
382,78.51328,0.06206
384,78.62956,0.08689
386,78.78368,0.11735
388,78.97564,0.14878
390,79.1676,0.18848
392,79.29924,0.22834
394,79.43088,0.25336
396,79.57512,0.29182
398,79.73196,0.33546
400,79.8888,0.39288
402,79.87144,0.45535
404,79.85408,0.51677
406,79.93028,0.57554
408,80.10004,0.63624
410,80.2698,0.6919
412,80.40548,0.75858
414,80.54116,0.82228
416,80.6146,0.89057
418,80.6258,0.95459
420,80.637,1.01596
422,80.77872,1.08515
424,80.92044,1.15221
426,81.0209,1.21977
428,81.0801,1.28605
430,81.1393,1.33527
432,81.16486,1.40997
434,81.19042,1.4745
436,81.16278,1.55247
438,81.08194,1.62258
440,81.0011,1.70018
442,80.84934,1.78233
444,80.69758,1.86373
446,80.6595,1.9398
448,80.7351,2.02779
450,80.8107,2.11927
452,80.75726,2.21043
454,80.70382,2.30107
456,80.6961,2.3944
458,80.7341,2.48694
460,80.7721,2.57858
462,80.70554,2.67467
464,80.63898,2.76849
466,80.56866,2.86341
468,80.49458,2.95832
470,80.4205,3.05025
472,80.4557,3.14903
474,80.4909,3.24548
476,80.57212,3.34218
478,80.69936,3.44318
480,80.8266,3.54444
482,80.8162,3.64646
484,80.8058,3.74573
486,80.8683,3.82634
488,81.0037,3.92463
490,81.1391,4.02868
492,81.14926,4.12444
494,81.15942,4.22485
496,81.26812,4.32678
498,81.47536,4.42829
500,81.6826,4.53008
502,81.57828,4.62895
504,81.47396,4.72557
506,81.59032,4.83388
508,81.92736,4.93569
510,82.2644,5.04047
512,82.1994,5.15035
514,82.1344,5.25172
516,82.09172,5.35732
518,82.07136,5.4561
520,82.051,5.56096
522,82.34044,5.66975
524,82.62988,5.78083
526,82.69608,5.88848
528,82.53904,5.99644
530,82.382,6.10523
532,82.66088,6.21871
534,82.93976,6.32804
536,83.21894,6.4446
538,83.49842,6.55864
540,83.7779,6.66683
542,83.57898,6.78017
544,83.38006,6.89572
546,83.45894,7.00812
548,83.81562,7.11962
550,84.1723,7.23462
552,84.22114,7.35234
554,84.26998,7.46944
556,84.287,7.5856
558,84.2722,7.70173
560,84.2574,7.81392
562,84.49716,7.92765
564,84.73692,8.04411
566,84.83134,8.15544
568,84.78042,8.27336
570,84.7295,8.38879
