Sum(Hourly energy / kWhr),MERRA 2 hourly avg irradiance W/m2,Cov met station irradiation / kWh/m2,System 1336 / kWh/m2 / hr,Date time
0,0,0,0,2014/01/01 00:00
0,0,0,0,2014/01/01 01:00
0,0,0,0,2014/01/01 02:00
0,0,0,0,2014/01/01 03:00
0,0,0,0,2014/01/01 04:00
0,0,0,0,2014/01/01 05:00
0,0,0,0,2014/01/01 06:00
0,2.907,5,0,2014/01/01 07:00
0.0014,15.341,38,3.57143E-05,2014/01/01 08:00
0.0014,26.903,40,3.57143E-05,2014/01/01 09:00
0.02128,32.042,52,0.000542857,2014/01/01 10:00
0.05146,25.795,63,0.001312755,2014/01/01 11:00
0.06644,19.124,58,0.001694898,2014/01/01 12:00
0.00732,8.332,57,0.000186735,2014/01/01 13:00
0.00238,1.729,23,6.07143E-05,2014/01/01 14:00
0,0,0,0,2014/01/01 15:00
0,0,0,0,2014/01/01 16:00
0,0,0,0,2014/01/01 17:00
0,0,0,0,2014/01/01 18:00
0,0,0,0,2014/01/01 19:00
0,0,0,0,2014/01/01 20:00
0,0,0,0,2014/01/01 21:00
0,0,0,0,2014/01/01 22:00
0,0,0,0,2014/01/01 23:00
0,0,0,0,2014/01/02 00:00
0,0,0,0,2014/01/02 01:00
0,0,0,0,2014/01/02 02:00
0,0,0,0,2014/01/02 03:00
0,0,0,0,2014/01/02 04:00
0,0,0,0,2014/01/02 05:00
0,0,0,0,2014/01/02 06:00
0.05504,6.179,27,0.001404082,2014/01/02 07:00
0.88958,48.149,275,0.022693367,2014/01/02 08:00
1.85403,123.213,545,0.047296684,2014/01/02 09:00
2.36525,205.579,711,0.06033801,2014/01/02 10:00
2.57805,209.667,712,0.065766582,2014/01/02 11:00
2.38295,169.512,761,0.060789541,2014/01/02 12:00
1.35702,92.246,475,0.034617857,2014/01/02 13:00
0.30524,22.395,83,0.007786735,2014/01/02 14:00
0,0,0,0,2014/01/02 15:00
0,0,0,0,2014/01/02 16:00
0,0,0,0,2014/01/02 17:00
0,0,0,0,2014/01/02 18:00
0,0,0,0,2014/01/02 19:00
0,0,0,0,2014/01/02 20:00
0,0,0,0,2014/01/02 21:00
0,0,0,0,2014/01/02 22:00
0,0,0,0,2014/01/02 23:00
0,0,0,0,2014/01/03 00:00
0,0,0,0,2014/01/03 01:00
0,0,0,0,2014/01/03 02:00
0,0,0,0,2014/01/03 03:00
0,0,0,0,2014/01/03 04:00
0,0,0,0,2014/01/03 05:00
0,0,0,0,2014/01/03 06:00
0.02184,6.652,19,0.000557143,2014/01/03 07:00
0.54793,39.971,217,0.013977806,2014/01/03 08:00
1.09701,84.816,421,0.027984949,2014/01/03 09:00
1.37014,106.588,390,0.034952551,2014/01/03 10:00
1.45723,112.786,487,0.037174235,2014/01/03 11:00
1.22526,99.768,431,0.031256633,2014/01/03 12:00
0.30248,50.367,233,0.007716327,2014/01/03 13:00
0.20017,9.686,73,0.005106378,2014/01/03 14:00
0,0,0,0,2014/01/03 15:00
0,0,0,0,2014/01/03 16:00
0,0,0,0,2014/01/03 17:00
0,0,0,0,2014/01/03 18:00
0,0,0,0,2014/01/03 19:00
0,0,0,0,2014/01/03 20:00
0,0,0,0,2014/01/03 21:00
0,0,0,0,2014/01/03 22:00
0,0,0,0,2014/01/03 23:00
0,0,0,0,2014/01/04 00:00
0,0,0,0,2014/01/04 01:00
0,0,0,0,2014/01/04 02:00
0,0,0,0,2014/01/04 03:00
0,0,0,0,2014/01/04 04:00
0,0,0,0,2014/01/04 05:00
0,0,0,0,2014/01/04 06:00
0,2.416,6,0,2014/01/04 07:00
0.02393,13.719,55,0.000610459,2014/01/04 08:00
0.06963,37.775,84,0.001776276,2014/01/04 09:00
0.08219,95.467,98,0.002096684,2014/01/04 10:00
0.15935,126.403,133,0.004065051,2014/01/04 11:00
0.10065,83.406,88,0.002567602,2014/01/04 12:00
0.14306,33.458,189,0.00364949,2014/01/04 13:00
0.05593,5.357,41,0.001426786,2014/01/04 14:00
0,0,0,0,2014/01/04 15:00
0,0,0,0,2014/01/04 16:00
0,0,0,0,2014/01/04 17:00
0,0,0,0,2014/01/04 18:00
0,0,0,0,2014/01/04 19:00
0,0,0,0,2014/01/04 20:00
0,0,0,0,2014/01/04 21:00
0,0,0,0,2014/01/04 22:00
0,0,0,0,2014/01/04 23:00
0,0,0,0,2014/01/05 00:00
0,0,0,0,2014/01/05 01:00
0,0,0,0,2014/01/05 02:00
0,0,0,0,2014/01/05 03:00
0,0,0,0,2014/01/05 04:00
0,0,0,0,2014/01/05 05:00
0,0,0,0,2014/01/05 06:00
0.00769,9.182,19,0.000196174,2014/01/05 07:00
0.29651,41.509,186,0.007564031,2014/01/05 08:00
0.48533,69.03,311,0.012380867,2014/01/05 09:00
0.35275,63.748,236,0.008998725,2014/01/05 10:00
0.174,106.296,142,0.004438776,2014/01/05 11:00
0.22535,93.759,181,0.005748725,2014/01/05 12:00
0.29935,38.561,202,0.00763648,2014/01/05 13:00
0.09814,4.736,49,0.002503571,2014/01/05 14:00
0,0,0,0,2014/01/05 15:00
0,0,0,0,2014/01/05 16:00
0,0,0,0,2014/01/05 17:00
0,0,0,0,2014/01/05 18:00
0,0,0,0,2014/01/05 19:00
0,0,0,0,2014/01/05 20:00
0,0,0,0,2014/01/05 21:00
0,0,0,0,2014/01/05 22:00
0,0,0,0,2014/01/05 23:00
0,0,0,0,2014/01/06 00:00
0,0,0,0,2014/01/06 01:00
0,0,0,0,2014/01/06 02:00
0,0,0,0,2014/01/06 03:00
0,0,0,0,2014/01/06 04:00
0,0,0,0,2014/01/06 05:00
0,0,0,0,2014/01/06 06:00
0.0193,13.437,17,0.000492347,2014/01/06 07:00
0.53189,81.256,241,0.013568622,2014/01/06 08:00
1.41564,148.368,624,0.036113265,2014/01/06 09:00
1.2002,187.681,401,0.030617347,2014/01/06 10:00
2.0568,194.16,591,0.052469388,2014/01/06 11:00
1.42427,154.43,497,0.036333418,2014/01/06 12:00
0.63856,85.461,238,0.016289796,2014/01/06 13:00
0.27361,18.624,106,0.006979847,2014/01/06 14:00
0.00063,0,0,1.60714E-05,2014/01/06 15:00
0,0,0,0,2014/01/06 16:00
0,0,0,0,2014/01/06 17:00
0,0,0,0,2014/01/06 18:00
0,0,0,0,2014/01/06 19:00
0,0,0,0,2014/01/06 20:00
0,0,0,0,2014/01/06 21:00
0,0,0,0,2014/01/06 22:00
0,0,0,0,2014/01/06 23:00
0,0,0,0,2014/01/07 00:00
0,0,0,0,2014/01/07 01:00
0,0,0,0,2014/01/07 02:00
0,0,0,0,2014/01/07 03:00
0,0,0,0,2014/01/07 04:00
0,0,0,0,2014/01/07 05:00
0,0,0,0,2014/01/07 06:00
0,7.57,4,0,2014/01/07 07:00
0.06079,54.018,83,0.001550765,2014/01/07 08:00
1.25176,85.464,511,0.031932653,2014/01/07 09:00
1.65465,126.882,510,0.042210459,2014/01/07 10:00
1.44212,160.627,677,0.036788776,2014/01/07 11:00
1.66384,139.614,677,0.042444898,2014/01/07 12:00
0.72127,92.705,499,0.018399745,2014/01/07 13:00
0.34379,24.235,103,0.008770153,2014/01/07 14:00
0.02044,0,3,0.000521429,2014/01/07 15:00
0,0,0,0,2014/01/07 16:00
0,0,0,0,2014/01/07 17:00
0,0,0,0,2014/01/07 18:00
0,0,0,0,2014/01/07 19:00
0,0,0,0,2014/01/07 20:00
0,0,0,0,2014/01/07 21:00
0,0,0,0,2014/01/07 22:00
0,0,0,0,2014/01/07 23:00
0,0,0,0,2014/01/08 00:00
0,0,0,0,2014/01/08 01:00
0,0,0,0,2014/01/08 02:00
0,0,0,0,2014/01/08 03:00
0,0,0,0,2014/01/08 04:00
0,0,0,0,2014/01/08 05:00
0,0,0,0,2014/01/08 06:00
0,5.992,10,0,2014/01/08 07:00
0.20887,41.537,98,0.005328316,2014/01/08 08:00
1.04783,97.526,459,0.026730357,2014/01/08 09:00
0.72176,168.207,387,0.018412245,2014/01/08 10:00
0.86268,210.332,547,0.022007143,2014/01/08 11:00
0.47366,176.11,290,0.012083163,2014/01/08 12:00
0.16782,82.805,160,0.004281122,2014/01/08 13:00
0.01274,12.818,21,0.000325,2014/01/08 14:00
0,0,0,0,2014/01/08 15:00
0,0,0,0,2014/01/08 16:00
0,0,0,0,2014/01/08 17:00
0,0,0,0,2014/01/08 18:00
0,0,0,0,2014/01/08 19:00
0,0,0,0,2014/01/08 20:00
0,0,0,0,2014/01/08 21:00
0,0,0,0,2014/01/08 22:00
0,0,0,0,2014/01/08 23:00
0,0,0,0,2014/01/09 00:00
0,0,0,0,2014/01/09 01:00
0,0,0,0,2014/01/09 02:00
0,0,0,0,2014/01/09 03:00
0,0,0,0,2014/01/09 04:00
0,0,0,0,2014/01/09 05:00
0,0,0,0,2014/01/09 06:00
0.00817,8.898,20,0.000208418,2014/01/09 07:00
0.27978,43.876,164,0.007137245,2014/01/09 08:00
1.13727,132.051,353,0.02901199,2014/01/09 09:00
2.09218,195.412,438,0.053371939,2014/01/09 10:00
2.09259,186.952,835,0.053382398,2014/01/09 11:00
1.26049,162.629,478,0.032155357,2014/01/09 12:00
0.35454,100.619,329,0.009044388,2014/01/09 13:00
0.68159,29.571,101,0.0173875,2014/01/09 14:00
0.08733,0.002,7,0.002227806,2014/01/09 15:00
0,0,0,0,2014/01/09 16:00
0,0,0,0,2014/01/09 17:00
0,0,0,0,2014/01/09 18:00
0,0,0,0,2014/01/09 19:00
0,0,0,0,2014/01/09 20:00
0,0,0,0,2014/01/09 21:00
0,0,0,0,2014/01/09 22:00
0,0,0,0,2014/01/09 23:00
0,0,0,0,2014/01/10 00:00
0,0,0,0,2014/01/10 01:00
0,0,0,0,2014/01/10 02:00
0,0,0,0,2014/01/10 03:00
0,0,0,0,2014/01/10 04:00
0,0,0,0,2014/01/10 05:00
0,0,0,0,2014/01/10 06:00
0.06244,6.295,57,0.001592857,2014/01/10 07:00
0.52156,30.89,260,0.013305102,2014/01/10 08:00
1.47539,57.736,669,0.0376375,2014/01/10 09:00
1.60702,70.968,497,0.040995408,2014/01/10 10:00
1.56728,78.267,547,0.039981633,2014/01/10 11:00
0.74266,56.891,333,0.018945408,2014/01/10 12:00
0.42243,36.321,249,0.010776276,2014/01/10 13:00
0.13235,7.848,110,0.003376276,2014/01/10 14:00
0.00703,0,5,0.000179337,2014/01/10 15:00
0,0,0,0,2014/01/10 16:00
0,0,0,0,2014/01/10 17:00
0,0,0,0,2014/01/10 18:00
0,0,0,0,2014/01/10 19:00
0,0,0,0,2014/01/10 20:00
0,0,0,0,2014/01/10 21:00
0,0,0,0,2014/01/10 22:00
0,0,0,0,2014/01/10 23:00
0,0,0,0,2014/01/11 00:00
0,0,0,0,2014/01/11 01:00
0,0,0,0,2014/01/11 02:00
0,0,0,0,2014/01/11 03:00
0,0,0,0,2014/01/11 04:00
0,0,0,0,2014/01/11 05:00
0,0,0,0,2014/01/11 06:00
0.07913,18.649,37,0.002018622,2014/01/11 07:00
1.03325,103.501,420,0.026358418,2014/01/11 08:00
2.11653,192.618,627,0.053993112,2014/01/11 09:00
2.51195,239.776,848,0.064080357,2014/01/11 10:00
2.5485,242.494,785,0.065012755,2014/01/11 11:00
1.87738,203.313,811,0.047892347,2014/01/11 12:00
1.26368,124.834,433,0.032236735,2014/01/11 13:00
0.9478,33.574,73,0.024178571,2014/01/11 14:00
0.04828,0.012,6,0.001231633,2014/01/11 15:00
0,0,0,0,2014/01/11 16:00
0,0,0,0,2014/01/11 17:00
0,0,0,0,2014/01/11 18:00
0,0,0,0,2014/01/11 19:00
0,0,0,0,2014/01/11 20:00
0,0,0,0,2014/01/11 21:00
0,0,0,0,2014/01/11 22:00
0,0,0,0,2014/01/11 23:00
0,0,0,0,2014/01/12 00:00
0,0,0,0,2014/01/12 01:00
0,0,0,0,2014/01/12 02:00
0,0,0,0,2014/01/12 03:00
0,0,0,0,2014/01/12 04:00
0,0,0,0,2014/01/12 05:00
0,0,0,0,2014/01/12 06:00
0.07643,9.751,63,0.001949745,2014/01/12 07:00
0.97667,44.448,437,0.024915051,2014/01/12 08:00
1.61622,75.085,467,0.041230102,2014/01/12 09:00
0.6366,65.719,270,0.016239796,2014/01/12 10:00
0.25134,51.038,215,0.006411735,2014/01/12 11:00
0.08855,54.93,95,0.002258929,2014/01/12 12:00
0.00017,35.251,41,4.34E-06,2014/01/12 13:00
0,7.271,28,0,2014/01/12 14:00
0,0,4,0,2014/01/12 15:00
0,0,0,0,2014/01/12 16:00
0,0,0,0,2014/01/12 17:00
0,0,0,0,2014/01/12 18:00
0,0,0,0,2014/01/12 19:00
0,0,0,0,2014/01/12 20:00
0,0,0,0,2014/01/12 21:00
0,0,0,0,2014/01/12 22:00
0,0,0,0,2014/01/12 23:00
0,0,0,0,2014/01/13 00:00
0,0,0,0,2014/01/13 01:00
0,0,0,0,2014/01/13 02:00
0,0,0,0,2014/01/13 03:00
0,0,0,0,2014/01/13 04:00
0,0,0,0,2014/01/13 05:00
0,0,0,0,2014/01/13 06:00
0.0984,3.376,44,0.002510204,2014/01/13 07:00
1.07271,23.205,335,0.027365051,2014/01/13 08:00
2.05626,48.467,650,0.052455612,2014/01/13 09:00
2.6387,109.935,831,0.067313776,2014/01/13 10:00
2.8542,141.78,904,0.072811225,2014/01/13 11:00
2.30373,146.571,635,0.058768622,2014/01/13 12:00
0.90276,100.52,348,0.023029592,2014/01/13 13:00
0.19994,27.089,95,0.00510051,2014/01/13 14:00
0.00432,0.016,7,0.000110204,2014/01/13 15:00
0,0,0,0,2014/01/13 16:00
0,0,0,0,2014/01/13 17:00
0,0,0,0,2014/01/13 18:00
0,0,0,0,2014/01/13 19:00
0,0,0,0,2014/01/13 20:00
0,0,0,0,2014/01/13 21:00
0,0,0,0,2014/01/13 22:00
0,0,0,0,2014/01/13 23:00
0,0,0,0,2014/01/14 00:00
0,0,0,0,2014/01/14 01:00
