# Renewables.ninja Solar PV (Point API) - 37.970, 23.726 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Athens"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""37.9703"""," ""lon"": ""23.7264"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2015/01/01 00:00,2015/01/01 02:00,0,0,0,4.038,,,,,,,,,,,,,
2015/01/01 01:00,2015/01/01 03:00,0,0,0,4.031,,,,,,,,,,,,,
2015/01/01 02:00,2015/01/01 04:00,0,0,0,3.987,,,,,,,,,,,,,
2015/01/01 03:00,2015/01/01 05:00,0,0,0,3.887,,,,,,,,,,,,,
2015/01/01 04:00,2015/01/01 06:00,0,0,0,3.624,,,,,,,,,,,,,
2015/01/01 05:00,2015/01/01 07:00,0,0,0.001,3.398,,,,,,,,,,,,,
2015/01/01 06:00,2015/01/01 08:00,0.044,0.015,0.045,3.216,,,,,,,,,,,,,
2015/01/01 07:00,2015/01/01 09:00,0.158,0.063,0.115,3.377,,,,,,,,,,,,,
2015/01/01 08:00,2015/01/01 10:00,0.277,0.138,0.165,3.552,,,,,,,,,,,,,
