# Renewables.ninja Solar PV (Point API) - 37.970, 23.726 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Athens, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Athens"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""37.9703"""," ""lon"": ""23.7264"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2015/01/01 00:00,2015/01/01 02:00,0,0,0,4.725,0,,,,,,,,,,,,,
2015/01/01 01:00,2015/01/01 03:00,0,0,0,4.716,0,,,,,,,,,,,,,
2015/01/01 02:00,2015/01/01 04:00,0,0,0,4.665,0,,,,,,,,,,,,,
2015/01/01 03:00,2015/01/01 05:00,0,0,0,4.548,0,,,,,,,,,,,,,
2015/01/01 04:00,2015/01/01 06:00,0,0,0,4.24,0,,,,,,,,,,,,,
2015/01/01 05:00,2015/01/01 07:00,0,0,0,3.976,0,,,,,,,,,,,,,
2015/01/01 06:00,2015/01/01 08:00,0.024,0.016,0.024,3.763,0,,,,,,,,,,,,,
2015/01/01 07:00,2015/01/01 09:00,0.057,0.005,0.071,3.951,0,,,,,,,,,,,,,
2015/01/01 08:00,2015/01/01 10:00,0.141,0.025,0.138,4.156,0,,,,,,,,,,,,,
2015/01/01 09:00,2015/01/01 11:00,0.164,0.013,0.174,4.473,0,,,,,,,,,,,,,
2015/01/01 10:00,2015/01/01 12:00,0.119,0.001,0.14,4.799,0,,,,,,,,,,,,,
2015/01/01 11:00,2015/01/01 13:00,0.106,0.002,0.126,4.902,0,,,,,,,,,,,,,
2015/01/01 12:00,2015/01/01 14:00,0.09,0.001,0.11,4.629,0,,,,,,,,,,,,,
2015/01/01 13:00,2015/01/01 15:00,0.05,0.001,0.067,4.594,0,,,,,,,,,,,,,
2015/01/01 14:00,2015/01/01 16:00,0.03,0.001,0.045,4.457,0,,,,,,,,,,,,,
2015/01/01 15:00,2015/01/01 17:00,0,0,0.005,4.47,0,,,,,,,,,,,,,
2015/01/01 16:00,2015/01/01 18:00,0,0,0,4.745,0,,,,,,,,,,,,,
2015/01/01 17:00,2015/01/01 19:00,0,0,0,4.888,0,,,,,,,,,,,,,
2015/01/01 18:00,2015/01/01 20:00,0,0,0,5.032,0,,,,,,,,,,,,,
2015/01/01 19:00,2015/01/01 21:00,0,0,0,5.004,0,,,,,,,,,,,,,
2015/01/01 20:00,2015/01/01 22:00,0,0,0,4.951,0,,,,,,,,,,,,,
2015/01/01 21:00,2015/01/01 23:00,0,0,0,4.994,0,,,,,,,,,,,,,
2015/01/01 22:00,2015/01/02 00:00,0,0,0,5.136,0,,,,,,,,,,,,,
2015/01/01 23:00,2015/01/02 01:00,0,0,0,5.162,0,,,,,,,,,,,,,
2015/01/02 00:00,2015/01/02 02:00,0,0,0,5.066,0,,,,,,,,,,,,,
2015/01/02 01:00,2015/01/02 03:00,0,0,0,5.001,0,,,,,,,,,,,,,
2015/01/02 02:00,2015/01/02 04:00,0,0,0,4.947,0,,,,,,,,,,,,,
2015/01/02 03:00,2015/01/02 05:00,0,0,0,4.724,0,,,,,,,,,,,,,
2015/01/02 04:00,2015/01/02 06:00,0,0,0,4.345,0,,,,,,,,,,,,,
2015/01/02 05:00,2015/01/02 07:00,0,0,0,4.167,0,,,,,,,,,,,,,
2015/01/02 06:00,2015/01/02 08:00,0.05,0.042,0.027,5.166,0,,,,,,,,,,,,,
2015/01/02 07:00,2015/01/02 09:00,0.108,0.043,0.087,6.43,0,,,,,,,,,,,,,
2015/01/02 08:00,2015/01/02 10:00,0.204,0.067,0.164,7.269,0,,,,,,,,,,,,,
2015/01/02 09:00,2015/01/02 11:00,0.541,0.435,0.174,7.856,0,,,,,,,,,,,,,
2015/01/02 10:00,2015/01/02 12:00,0.681,0.62,0.163,8.149,0,,,,,,,,,,,,,
2015/01/02 11:00,2015/01/02 13:00,0.722,0.689,0.148,8.195,0,,,,,,,,,,,,,
2015/01/02 12:00,2015/01/02 14:00,0.605,0.529,0.158,8.022,0,,,,,,,,,,,,,
2015/01/02 13:00,2015/01/02 15:00,0.45,0.369,0.132,7.534,0,,,,,,,,,,,,,
2015/01/02 14:00,2015/01/02 16:00,0.223,0.162,0.089,6.385,0,,,,,,,,,,,,,
2015/01/02 15:00,2015/01/02 17:00,0.013,0.015,0.011,4.453,0,,,,,,,,,,,,,
2015/01/02 16:00,2015/01/02 18:00,0,0,0,3.809,0,,,,,,,,,,,,,
2015/01/02 17:00,2015/01/02 19:00,0,0,0,3.353,0,,,,,,,,,,,,,
2015/01/02 18:00,2015/01/02 20:00,0,0,0,2.998,0,,,,,,,,,,,,,
2015/01/02 19:00,2015/01/02 21:00,0,0,0,2.704,0,,,,,,,,,,,,,
2015/01/02 20:00,2015/01/02 22:00,0,0,0,2.463,0,,,,,,,,,,,,,
2015/01/02 21:00,2015/01/02 23:00,0,0,0,2.407,0,,,,,,,,,,,,,
2015/01/02 22:00,2015/01/03 00:00,0,0,0,2.518,0,,,,,,,,,,,,,
2015/01/02 23:00,2015/01/03 01:00,0,0,0,2.598,0,,,,,,,,,,,,,
2015/01/03 00:00,2015/01/03 02:00,0,0,0,2.634,0,,,,,,,,,,,,,
2015/01/03 01:00,2015/01/03 03:00,0,0,0,2.637,0,,,,,,,,,,,,,
2015/01/03 02:00,2015/01/03 04:00,0,0,0,2.642,0,,,,,,,,,,,,,
2015/01/03 03:00,2015/01/03 05:00,0,0,0,2.578,0,,,,,,,,,,,,,
2015/01/03 04:00,2015/01/03 06:00,0,0,0,2.54,0,,,,,,,,,,,,,
2015/01/03 05:00,2015/01/03 07:00,0,0,0,2.66,0,,,,,,,,,,,,,
2015/01/03 06:00,2015/01/03 08:00,0.125,0.127,0.02,4.39,0,,,,,,,,,,,,,
2015/01/03 07:00,2015/01/03 09:00,0.404,0.4,0.048,7.135,0,,,,,,,,,,,,,
2015/01/03 08:00,2015/01/03 10:00,0.543,0.509,0.102,8.219,0,,,,,,,,,,,,,
2015/01/03 09:00,2015/01/03 11:00,0.505,0.384,0.183,8.747,0,,,,,,,,,,,,,
2015/01/03 10:00,2015/01/03 12:00,0.66,0.588,0.172,9.325,0,,,,,,,,,,,,,
2015/01/03 11:00,2015/01/03 13:00,0.715,0.691,0.147,10.516,0,,,,,,,,,,,,,
2015/01/03 12:00,2015/01/03 14:00,0.429,0.285,0.2,11.354,0,,,,,,,,,,,,,
2015/01/03 13:00,2015/01/03 15:00,0.419,0.345,0.13,11.691,0,,,,,,,,,,,,,
2015/01/03 14:00,2015/01/03 16:00,0.219,0.162,0.089,10.464,0,,,,,,,,,,,,,
2015/01/03 15:00,2015/01/03 17:00,0.01,0.012,0.01,8.675,0,,,,,,,,,,,,,
2015/01/03 16:00,2015/01/03 18:00,0,0,0,8.391,0,,,,,,,,,,,,,
2015/01/03 17:00,2015/01/03 19:00,0,0,0,8.154,0,,,,,,,,,,,,,
2015/01/03 18:00,2015/01/03 20:00,0,0,0,7.962,0,,,,,,,,,,,,,
2015/01/03 19:00,2015/01/03 21:00,0,0,0,7.808,0,,,,,,,,,,,,,
2015/01/03 20:00,2015/01/03 22:00,0,0,0,8.1,0,,,,,,,,,,,,,
2015/01/03 21:00,2015/01/03 23:00,0,0,0,8.039,0,,,,,,,,,,,,,
2015/01/03 22:00,2015/01/04 00:00,0,0,0,7.798,0,,,,,,,,,,,,,
2015/01/03 23:00,2015/01/04 01:00,0,0,0,7.763,0,,,,,,,,,,,,,
2015/01/04 00:00,2015/01/04 02:00,0,0,0,7.551,0,,,,,,,,,,,,,
2015/01/04 01:00,2015/01/04 03:00,0,0,0,7.174,0,,,,,,,,,,,,,
2015/01/04 02:00,2015/01/04 04:00,0,0,0,7.032,0,,,,,,,,,,,,,
2015/01/04 03:00,2015/01/04 05:00,0,0,0,7.148,0,,,,,,,,,,,,,
2015/01/04 04:00,2015/01/04 06:00,0,0,0,7.328,0,,,,,,,,,,,,,
2015/01/04 05:00,2015/01/04 07:00,0,0,0,7.795,0,,,,,,,,,,,,,
2015/01/04 06:00,2015/01/04 08:00,0.01,0.002,0.02,9.172,0,,,,,,,,,,,,,
2015/01/04 07:00,2015/01/04 09:00,0.038,0.003,0.054,11.146,0,,,,,,,,,,,,,
2015/01/04 08:00,2015/01/04 10:00,0.096,0.005,0.116,12.278,0,,,,,,,,,,,,,
2015/01/04 09:00,2015/01/04 11:00,0.225,0.055,0.205,13.25,0,,,,,,,,,,,,,
2015/01/04 10:00,2015/01/04 12:00,0.368,0.197,0.222,13.885,0,,,,,,,,,,,,,
2015/01/04 11:00,2015/01/04 13:00,0.556,0.438,0.208,14.561,0,,,,,,,,,,,,,
2015/01/04 12:00,2015/01/04 14:00,0.513,0.422,0.173,15.33,0,,,,,,,,,,,,,
2015/01/04 13:00,2015/01/04 15:00,0.433,0.36,0.138,15.368,0,,,,,,,,,,,,,
2015/01/04 14:00,2015/01/04 16:00,0.273,0.226,0.087,13.931,0,,,,,,,,,,,,,
2015/01/04 15:00,2015/01/04 17:00,0.017,0.021,0.012,12.446,0,,,,,,,,,,,,,
2015/01/04 16:00,2015/01/04 18:00,0,0,0,11.884,0,,,,,,,,,,,,,
2015/01/04 17:00,2015/01/04 19:00,0,0,0,11.224,0,,,,,,,,,,,,,
2015/01/04 18:00,2015/01/04 20:00,0,0,0,10.728,0,,,,,,,,,,,,,
2015/01/04 19:00,2015/01/04 21:00,0,0,0,10.266,0,,,,,,,,,,,,,
2015/01/04 20:00,2015/01/04 22:00,0,0,0,9.759,0,,,,,,,,,,,,,
2015/01/04 21:00,2015/01/04 23:00,0,0,0,9.154,0,,,,,,,,,,,,,
2015/01/04 22:00,2015/01/05 00:00,0,0,0,8.983,0,,,,,,,,,,,,,
2015/01/04 23:00,2015/01/05 01:00,0,0,0,8.657,0,,,,,,,,,,,,,
2015/01/05 00:00,2015/01/05 02:00,0,0,0,8.262,0,,,,,,,,,,,,,
2015/01/05 01:00,2015/01/05 03:00,0,0,0,8.026,0,,,,,,,,,,,,,
2015/01/05 02:00,2015/01/05 04:00,0,0,0,7.679,0,,,,,,,,,,,,,
2015/01/05 03:00,2015/01/05 05:00,0,0,0,7.564,0,,,,,,,,,,,,,
2015/01/05 04:00,2015/01/05 06:00,0,0,0,7.473,0,,,,,,,,,,,,,
2015/01/05 05:00,2015/01/05 07:00,0,0,0,7.346,0,,,,,,,,,,,,,
2015/01/05 06:00,2015/01/05 08:00,0.004,0,0.012,7.602,0,,,,,,,,,,,,,
2015/01/05 07:00,2015/01/05 09:00,0.028,0,0.045,8.034,0,,,,,,,,,,,,,
2015/01/05 08:00,2015/01/05 10:00,0.064,0,0.085,8.304,0,,,,,,,,,,,,,
2015/01/05 09:00,2015/01/05 11:00,0.052,0,0.072,8.363,0,,,,,,,,,,,,,
2015/01/05 10:00,2015/01/05 12:00,0.062,0,0.083,8.352,0,,,,,,,,,,,,,
2015/01/05 11:00,2015/01/05 13:00,0.075,0,0.096,8.134,0,,,,,,,,,,,,,
2015/01/05 12:00,2015/01/05 14:00,0.139,0.014,0.149,7.542,0,,,,,,,,,,,,,
2015/01/05 13:00,2015/01/05 15:00,0.134,0.021,0.137,6.874,0,,,,,,,,,,,,,
2015/01/05 14:00,2015/01/05 16:00,0.045,0.005,0.058,5.98,0,,,,,,,,,,,,,
2015/01/05 15:00,2015/01/05 17:00,0,0,0.002,5.394,0,,,,,,,,,,,,,
2015/01/05 16:00,2015/01/05 18:00,0,0,0,5.326,0,,,,,,,,,,,,,
2015/01/05 17:00,2015/01/05 19:00,0,0,0,5.277,0,,,,,,,,,,,,,
2015/01/05 18:00,2015/01/05 20:00,0,0,0,5.195,0,,,,,,,,,,,,,
2015/01/05 19:00,2015/01/05 21:00,0,0,0,5.005,0,,,,,,,,,,,,,
2015/01/05 20:00,2015/01/05 22:00,0,0,0,4.781,0,,,,,,,,,,,,,
2015/01/05 21:00,2015/01/05 23:00,0,0,0,4.621,0,,,,,,,,,,,,,
2015/01/05 22:00,2015/01/06 00:00,0,0,0,4.35,0,,,,,,,,,,,,,
2015/01/05 23:00,2015/01/06 01:00,0,0,0,4.213,0,,,,,,,,,,,,,
2015/01/06 00:00,2015/01/06 02:00,0,0,0,4.069,0,,,,,,,,,,,,,
2015/01/06 01:00,2015/01/06 03:00,0,0,0,3.874,0,,,,,,,,,,,,,
2015/01/06 02:00,2015/01/06 04:00,0,0,0,3.651,0,,,,,,,,,,,,,
2015/01/06 03:00,2015/01/06 05:00,0,0,0,3.423,0,,,,,,,,,,,,,
2015/01/06 04:00,2015/01/06 06:00,0,0,0,3.044,0,,,,,,,,,,,,,
2015/01/06 05:00,2015/01/06 07:00,0,0,0,2.837,0,,,,,,,,,,,,,
2015/01/06 06:00,2015/01/06 08:00,0.06,0.053,0.026,3.246,0,,,,,,,,,,,,,
2015/01/06 07:00,2015/01/06 09:00,0.38,0.358,0.057,4.12,0,,,,,,,,,,,,,
2015/01/06 08:00,2015/01/06 10:00,0.499,0.433,0.118,5.027,0,,,,,,,,,,,,,
2015/01/06 09:00,2015/01/06 11:00,0.583,0.483,0.169,5.643,0,,,,,,,,,,,,,
2015/01/06 10:00,2015/01/06 12:00,0.633,0.523,0.191,5.747,0,,,,,,,,,,,,,
2015/01/06 11:00,2015/01/06 13:00,0.608,0.482,0.201,5.641,0,,,,,,,,,,,,,
2015/01/06 12:00,2015/01/06 14:00,0.557,0.438,0.182,5.397,0,,,,,,,,,,,,,
2015/01/06 13:00,2015/01/06 15:00,0.347,0.232,0.149,4.88,0,,,,,,,,,,,,,
2015/01/06 14:00,2015/01/06 16:00,0.215,0.15,0.089,4.187,0,,,,,,,,,,,,,
2015/01/06 15:00,2015/01/06 17:00,0.008,0.009,0.011,3.664,0,,,,,,,,,,,,,
2015/01/06 16:00,2015/01/06 18:00,0,0,0,3.558,0,,,,,,,,,,,,,
2015/01/06 17:00,2015/01/06 19:00,0,0,0,3.363,0,,,,,,,,,,,,,
2015/01/06 18:00,2015/01/06 20:00,0,0,0,3.188,0,,,,,,,,,,,,,
2015/01/06 19:00,2015/01/06 21:00,0,0,0,3.068,0,,,,,,,,,,,,,
2015/01/06 20:00,2015/01/06 22:00,0,0,0,3.045,0,,,,,,,,,,,,,
2015/01/06 21:00,2015/01/06 23:00,0,0,0,3.057,0,,,,,,,,,,,,,
2015/01/06 22:00,2015/01/07 00:00,0,0,0,3.082,0,,,,,,,,,,,,,
2015/01/06 23:00,2015/01/07 01:00,0,0,0,3.119,0,,,,,,,,,,,,,
2015/01/07 00:00,2015/01/07 02:00,0,0,0,3.186,0,,,,,,,,,,,,,
2015/01/07 01:00,2015/01/07 03:00,0,0,0,3.042,0,,,,,,,,,,,,,
2015/01/07 02:00,2015/01/07 04:00,0,0,0,3.013,0,,,,,,,,,,,,,
2015/01/07 03:00,2015/01/07 05:00,0,0,0,3.035,0,,,,,,,,,,,,,
2015/01/07 04:00,2015/01/07 06:00,0,0,0,2.993,0,,,,,,,,,,,,,
2015/01/07 05:00,2015/01/07 07:00,0,0,0,2.986,0,,,,,,,,,,,,,
2015/01/07 06:00,2015/01/07 08:00,0.096,0.091,0.025,3.317,0,,,,,,,,,,,,,
2015/01/07 07:00,2015/01/07 09:00,0.369,0.341,0.061,3.813,0,,,,,,,,,,,,,
2015/01/07 08:00,2015/01/07 10:00,0.592,0.573,0.086,4.233,0,,,,,,,,,,,,,
2015/01/07 09:00,2015/01/07 11:00,0.719,0.708,0.11,4.742,0,,,,,,,,,,,,,
2015/01/07 10:00,2015/01/07 12:00,0.781,0.78,0.124,5.397,0,,,,,,,,,,,,,
2015/01/07 11:00,2015/01/07 13:00,0.764,0.747,0.135,5.648,0,,,,,,,,,,,,,
2015/01/07 12:00,2015/01/07 14:00,0.649,0.583,0.149,5.385,0,,,,,,,,,,,,,
2015/01/07 13:00,2015/01/07 15:00,0.455,0.361,0.14,4.928,0,,,,,,,,,,,,,
