# Renewables.ninja Solar PV (Point API) - 31.626, -7.989 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Casablanca, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Casablanca"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""31.6258257"""," ""lon"": ""-7.9891608"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2015/01/01 00:00,01/01/2015 00:00,0,0,0,3.997,,,,,,,,,,,,,
2015/01/01 01:00,01/01/2015 01:00,0,0,0,3.683,,,,,,,,,,,,,
2015/01/01 02:00,01/01/2015 02:00,0,0,0,3.858,,,,,,,,,,,,,
2015/01/01 03:00,01/01/2015 03:00,0,0,0,4.165,,,,,,,,,,,,,
2015/01/01 04:00,01/01/2015 04:00,0,0,0,4.618,,,,,,,,,,,,,
2015/01/01 05:00,01/01/2015 05:00,0,0,0,5.25,,,,,,,,,,,,,
2015/01/01 06:00,01/01/2015 06:00,0,0,0,5.786,,,,,,,,,,,,,
2015/01/01 07:00,01/01/2015 07:00,0.015,0.021,0.007,5.934,,,,,,,,,,,,,
2015/01/01 08:00,01/01/2015 08:00,0.318,0.31,0.043,7.473,,,,,,,,,,,,,
2015/01/01 09:00,01/01/2015 09:00,0.549,0.579,0.055,10.516,,,,,,,,,,,,,
2015/01/01 10:00,01/01/2015 10:00,0.706,0.794,0.059,12.974,,,,,,,,,,,,,
2015/01/01 11:00,01/01/2015 11:00,0.787,0.919,0.064,14.79,,,,,,,,,,,,,
2015/01/01 12:00,01/01/2015 12:00,0.809,0.957,0.067,15.986,,,,,,,,,,,,,
2015/01/01 13:00,01/01/2015 13:00,0.779,0.915,0.066,16.508,,,,,,,,,,,,,
2015/01/01 14:00,01/01/2015 14:00,0.693,0.789,0.062,16.32,,,,,,,,,,,,,
2015/01/01 15:00,01/01/2015 15:00,0.546,0.591,0.055,15.468,,,,,,,,,,,,,
2015/01/01 16:00,01/01/2015 16:00,0.315,0.315,0.045,13.301,,,,,,,,,,,,,
2015/01/01 17:00,01/01/2015 17:00,0.023,0.029,0.009,9.121,,,,,,,,,,,,,
2015/01/01 18:00,01/01/2015 18:00,0,0,0,7.823,,,,,,,,,,,,,
2015/01/01 19:00,01/01/2015 19:00,0,0,0,7.314,,,,,,,,,,,,,
2015/01/01 20:00,01/01/2015 20:00,0,0,0,6.551,,,,,,,,,,,,,
2015/01/01 21:00,01/01/2015 21:00,0,0,0,5.979,,,,,,,,,,,,,
2015/01/01 22:00,01/01/2015 22:00,0,0,0,5.612,,,,,,,,,,,,,
2015/01/01 23:00,01/01/2015 23:00,0,0,0,5.173,,,,,,,,,,,,,
2015/01/02 00:00,02/01/2015 00:00,0,0,0,4.668,,,,,,,,,,,,,
2015/01/02 01:00,02/01/2015 01:00,0,0,0,4.121,,,,,,,,,,,,,
2015/01/02 02:00,02/01/2015 02:00,0,0,0,3.645,,,,,,,,,,,,,
2015/01/02 03:00,02/01/2015 03:00,0,0,0,3.108,,,,,,,,,,,,,
2015/01/02 04:00,02/01/2015 04:00,0,0,0,2.61,,,,,,,,,,,,,
2015/01/02 05:00,02/01/2015 05:00,0,0,0,2.25,,,,,,,,,,,,,
2015/01/02 06:00,02/01/2015 06:00,0,0,0,1.981,,,,,,,,,,,,,
2015/01/02 07:00,02/01/2015 07:00,0.016,0.022,0.007,1.879,,,,,,,,,,,,,
2015/01/02 08:00,02/01/2015 08:00,0.338,0.331,0.041,5.255,,,,,,,,,,,,,
2015/01/02 09:00,02/01/2015 09:00,0.567,0.601,0.051,9.516,,,,,,,,,,,,,
2015/01/02 10:00,02/01/2015 10:00,0.711,0.801,0.058,12.627,,,,,,,,,,,,,
2015/01/02 11:00,02/01/2015 11:00,0.79,0.924,0.063,14.839,,,,,,,,,,,,,
2015/01/02 12:00,02/01/2015 12:00,0.811,0.963,0.066,16.065,,,,,,,,,,,,,
2015/01/02 13:00,02/01/2015 13:00,0.78,0.919,0.065,16.688,,,,,,,,,,,,,
2015/01/02 14:00,02/01/2015 14:00,0.694,0.793,0.061,16.667,,,,,,,,,,,,,
2015/01/02 15:00,02/01/2015 15:00,0.545,0.591,0.055,15.943,,,,,,,,,,,,,
2015/01/02 16:00,02/01/2015 16:00,0.315,0.317,0.045,13.777,,,,,,,,,,,,,
2015/01/02 17:00,02/01/2015 17:00,0.024,0.03,0.009,9.754,,,,,,,,,,,,,
2015/01/02 18:00,02/01/2015 18:00,0,0,0,8.323,,,,,,,,,,,,,
2015/01/02 19:00,02/01/2015 19:00,0,0,0,7.498,,,,,,,,,,,,,
2015/01/02 20:00,02/01/2015 20:00,0,0,0,6.637,,,,,,,,,,,,,
2015/01/02 21:00,02/01/2015 21:00,0,0,0,5.975,,,,,,,,,,,,,
2015/01/02 22:00,02/01/2015 22:00,0,0,0,5.488,,,,,,,,,,,,,
2015/01/02 23:00,02/01/2015 23:00,0,0,0,4.853,,,,,,,,,,,,,
2015/01/03 00:00,03/01/2015 00:00,0,0,0,4.038,,,,,,,,,,,,,
2015/01/03 01:00,03/01/2015 01:00,0,0,0,3.323,,,,,,,,,,,,,
2015/01/03 02:00,03/01/2015 02:00,0,0,0,2.918,,,,,,,,,,,,,
2015/01/03 03:00,03/01/2015 03:00,0,0,0,2.68,,,,,,,,,,,,,
2015/01/03 04:00,03/01/2015 04:00,0,0,0,2.498,,,,,,,,,,,,,
2015/01/03 05:00,03/01/2015 05:00,0,0,0,2.371,,,,,,,,,,,,,
2015/01/03 06:00,03/01/2015 06:00,0,0,0,2.256,,,,,,,,,,,,,
2015/01/03 07:00,03/01/2015 07:00,0.018,0.024,0.007,2.295,,,,,,,,,,,,,
