# Renewables.ninja Solar PV (Point API) - 31.626, -7.989 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Casablanca, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Casablanca"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""31.6258257"""," ""lon"": ""-7.9891608"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2015/01/01 00:00,01/01/2015 00:00,0,0,0,3.997,0,,,,,,,,,,,,,
2015/01/01 01:00,01/01/2015 01:00,0,0,0,3.683,0,,,,,,,,,,,,,
2015/01/01 02:00,01/01/2015 02:00,0,0,0,3.858,0,,,,,,,,,,,,,
2015/01/01 03:00,01/01/2015 03:00,0,0,0,4.165,0,,,,,,,,,,,,,
2015/01/01 04:00,01/01/2015 04:00,0,0,0,4.618,0,,,,,,,,,,,,,
2015/01/01 05:00,01/01/2015 05:00,0,0,0,5.25,0,,,,,,,,,,,,,
2015/01/01 06:00,01/01/2015 06:00,0,0,0,5.786,0,,,,,,,,,,,,,
2015/01/01 07:00,01/01/2015 07:00,0,0,0,5.934,0,,,,,,,,,,,,,
2015/01/01 08:00,01/01/2015 08:00,0.167,0.17,0.021,7.473,0,,,,,,,,,,,,,
2015/01/01 09:00,01/01/2015 09:00,0.426,0.441,0.042,10.516,0,,,,,,,,,,,,,
2015/01/01 10:00,01/01/2015 10:00,0.594,0.629,0.071,12.974,0,,,,,,,,,,,,,
2015/01/01 11:00,01/01/2015 11:00,0.698,0.757,0.094,14.79,0,,,,,,,,,,,,,
2015/01/01 12:00,01/01/2015 12:00,0.749,0.824,0.108,15.986,0,,,,,,,,,,,,,
2015/01/01 13:00,01/01/2015 13:00,0.747,0.815,0.116,16.508,0,,,,,,,,,,,,,
2015/01/01 14:00,01/01/2015 14:00,0.684,0.716,0.123,16.32,0,,,,,,,,,,,,,
2015/01/01 15:00,01/01/2015 15:00,0.563,0.549,0.12,15.468,0,,,,,,,,,,,,,
2015/01/01 16:00,01/01/2015 16:00,0.384,0.341,0.099,13.301,0,,,,,,,,,,,,,
2015/01/01 17:00,01/01/2015 17:00,0.108,0.095,0.037,9.121,0,,,,,,,,,,,,,
2015/01/01 18:00,01/01/2015 18:00,0,0,0,7.823,0,,,,,,,,,,,,,
2015/01/01 19:00,01/01/2015 19:00,0,0,0,7.314,0,,,,,,,,,,,,,
2015/01/01 20:00,01/01/2015 20:00,0,0,0,6.551,0,,,,,,,,,,,,,
2015/01/01 21:00,01/01/2015 21:00,0,0,0,5.979,0,,,,,,,,,,,,,
2015/01/01 22:00,01/01/2015 22:00,0,0,0,5.612,0,,,,,,,,,,,,,
2015/01/01 23:00,01/01/2015 23:00,0,0,0,5.173,0,,,,,,,,,,,,,
2015/01/02 00:00,02/01/2015 00:00,0,0,0,4.668,0,,,,,,,,,,,,,
2015/01/02 01:00,02/01/2015 01:00,0,0,0,4.121,0,,,,,,,,,,,,,
2015/01/02 02:00,02/01/2015 02:00,0,0,0,3.645,0,,,,,,,,,,,,,
2015/01/02 03:00,02/01/2015 03:00,0,0,0,3.108,0,,,,,,,,,,,,,
2015/01/02 04:00,02/01/2015 04:00,0,0,0,2.61,0,,,,,,,,,,,,,
2015/01/02 05:00,02/01/2015 05:00,0,0,0,2.25,0,,,,,,,,,,,,,
2015/01/02 06:00,02/01/2015 06:00,0,0,0,1.981,0,,,,,,,,,,,,,
2015/01/02 07:00,02/01/2015 07:00,0,0,0,1.879,0,,,,,,,,,,,,,
2015/01/02 08:00,02/01/2015 08:00,0.167,0.169,0.021,5.255,0,,,,,,,,,,,,,
2015/01/02 09:00,02/01/2015 09:00,0.428,0.442,0.041,9.516,0,,,,,,,,,,,,,
2015/01/02 10:00,02/01/2015 10:00,0.595,0.631,0.069,12.627,0,,,,,,,,,,,,,
2015/01/02 11:00,02/01/2015 11:00,0.701,0.764,0.091,14.839,0,,,,,,,,,,,,,
2015/01/02 12:00,02/01/2015 12:00,0.748,0.823,0.109,16.065,0,,,,,,,,,,,,,
2015/01/02 13:00,02/01/2015 13:00,0.749,0.821,0.115,16.688,0,,,,,,,,,,,,,
