# Renewables.ninja Solar PV (Point API) - 53.381, -1.486 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""53.381"""," ""lon"": ""-1.486"""," ""date_from"": ""2014-01-01"""," ""date_to"": ""2014-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2014/01/01 00:00,2014/01/01 00:00,0,0,0,3.896,0,,,,,,,,,,,,,
2014/01/01 01:00,2014/01/01 01:00,0,0,0,3.859,0,,,,,,,,,,,,,
2014/01/01 02:00,2014/01/01 02:00,0,0,0,4.068,0,,,,,,,,,,,,,
2014/01/01 03:00,2014/01/01 03:00,0,0,0,4.257,0,,,,,,,,,,,,,
2014/01/01 04:00,2014/01/01 04:00,0,0,0,4.146,0,,,,,,,,,,,,,
2014/01/01 05:00,2014/01/01 05:00,0,0,0,4.123,0,,,,,,,,,,,,,
2014/01/01 06:00,2014/01/01 06:00,0,0,0,4.373,0,,,,,,,,,,,,,
2014/01/01 07:00,2014/01/01 07:00,0,0,0,4.731,0,,,,,,,,,,,,,
2014/01/01 08:00,2014/01/01 08:00,0,0,0,5.117,0,,,,,,,,,,,,,
2014/01/01 09:00,2014/01/01 09:00,0.013,0.005,0.021,5.747,0,,,,,,,,,,,,,
2014/01/01 10:00,2014/01/01 10:00,0.029,0.004,0.041,6.325,0,,,,,,,,,,,,,
2014/01/01 11:00,2014/01/01 11:00,0.026,0.002,0.039,6.652,0,,,,,,,,,,,,,
2014/01/01 12:00,2014/01/01 12:00,0.023,0,0.038,6.597,0,,,,,,,,,,,,,
2014/01/01 13:00,2014/01/01 13:00,0.035,0.001,0.051,6.467,0,,,,,,,,,,,,,
2014/01/01 14:00,2014/01/01 14:00,0.033,0.016,0.035,6.983,0,,,,,,,,,,,,,
2014/01/01 15:00,2014/01/01 15:00,0.044,0.036,0.027,8.603,0,,,,,,,,,,,,,
2014/01/01 16:00,2014/01/01 16:00,0,0,0,9.888,0,,,,,,,,,,,,,
2014/01/01 17:00,2014/01/01 17:00,0,0,0,10.103,0,,,,,,,,,,,,,
2014/01/01 18:00,2014/01/01 18:00,0,0,0,9.961,0,,,,,,,,,,,,,
2014/01/01 19:00,2014/01/01 19:00,0,0,0,9.854,0,,,,,,,,,,,,,
2014/01/01 20:00,2014/01/01 20:00,0,0,0,9.91,0,,,,,,,,,,,,,
2014/01/01 21:00,2014/01/01 21:00,0,0,0,9.97,0,,,,,,,,,,,,,
2014/01/01 22:00,2014/01/01 22:00,0,0,0,9.753,0,,,,,,,,,,,,,
2014/01/01 23:00,2014/01/01 23:00,0,0,0,9.257,0,,,,,,,,,,,,,
2014/01/02 00:00,2014/01/02 00:00,0,0,0,8.409,0,,,,,,,,,,,,,
2014/01/02 01:00,2014/01/02 01:00,0,0,0,7.292,0,,,,,,,,,,,,,
2014/01/02 02:00,2014/01/02 02:00,0,0,0,6.206,0,,,,,,,,,,,,,
2014/01/02 03:00,2014/01/02 03:00,0,0,0,5.559,0,,,,,,,,,,,,,
2014/01/02 04:00,2014/01/02 04:00,0,0,0,5.485,0,,,,,,,,,,,,,
2014/01/02 05:00,2014/01/02 05:00,0,0,0,5.496,0,,,,,,,,,,,,,
2014/01/02 06:00,2014/01/02 06:00,0,0,0,5.208,0,,,,,,,,,,,,,
2014/01/02 07:00,2014/01/02 07:00,0,0,0,4.52,0,,,,,,,,,,,,,
2014/01/02 08:00,2014/01/02 08:00,0,0,0,4.334,0,,,,,,,,,,,,,
2014/01/02 09:00,2014/01/02 09:00,0.141,0.144,0.021,4.904,0,,,,,,,,,,,,,
2014/01/02 10:00,2014/01/02 10:00,0.343,0.332,0.047,5.9,0,,,,,,,,,,,,,
2014/01/02 11:00,2014/01/02 11:00,0.449,0.433,0.065,6.952,0,,,,,,,,,,,,,
2014/01/02 12:00,2014/01/02 12:00,0.389,0.34,0.092,7.807,0,,,,,,,,,,,,,
2014/01/02 13:00,2014/01/02 13:00,0.326,0.273,0.09,8.098,0,,,,,,,,,,,,,
2014/01/02 14:00,2014/01/02 14:00,0.193,0.148,0.072,7.638,0,,,,,,,,,,,,,
2014/01/02 15:00,2014/01/02 15:00,0.102,0.092,0.032,6.376,0,,,,,,,,,,,,,
2014/01/02 16:00,2014/01/02 16:00,0,0,0,5.359,0,,,,,,,,,,,,,
2014/01/02 17:00,2014/01/02 17:00,0,0,0,5.147,0,,,,,,,,,,,,,
2014/01/02 18:00,2014/01/02 18:00,0,0,0,5.344,0,,,,,,,,,,,,,
2014/01/02 19:00,2014/01/02 19:00,0,0,0,5.585,0,,,,,,,,,,,,,
2014/01/02 20:00,2014/01/02 20:00,0,0,0,5.775,0,,,,,,,,,,,,,
2014/01/02 21:00,2014/01/02 21:00,0,0,0,6.188,0,,,,,,,,,,,,,
2014/01/02 22:00,2014/01/02 22:00,0,0,0,7.063,0,,,,,,,,,,,,,
2014/01/02 23:00,2014/01/02 23:00,0,0,0,7.798,0,,,,,,,,,,,,,
2014/01/03 00:00,2014/01/03 00:00,0,0,0,8.26,0,,,,,,,,,,,,,
2014/01/03 01:00,2014/01/03 01:00,0,0,0,8.75,0,,,,,,,,,,,,,
2014/01/03 02:00,2014/01/03 02:00,0,0,0,8.758,0,,,,,,,,,,,,,
2014/01/03 03:00,2014/01/03 03:00,0,0,0,7.335,0,,,,,,,,,,,,,
2014/01/03 04:00,2014/01/03 04:00,0,0,0,5.801,0,,,,,,,,,,,,,
2014/01/03 05:00,2014/01/03 05:00,0,0,0,5.205,0,,,,,,,,,,,,,
2014/01/03 06:00,2014/01/03 06:00,0,0,0,5.09,0,,,,,,,,,,,,,
2014/01/03 07:00,2014/01/03 07:00,0,0,0,5.17,0,,,,,,,,,,,,,
2014/01/03 08:00,2014/01/03 08:00,0,0,0,5.342,0,,,,,,,,,,,,,
2014/01/03 09:00,2014/01/03 09:00,0.117,0.116,0.024,5.838,0,,,,,,,,,,,,,
2014/01/03 10:00,2014/01/03 10:00,0.337,0.326,0.047,6.56,0,,,,,,,,,,,,,
2014/01/03 11:00,2014/01/03 11:00,0.342,0.302,0.077,7.228,0,,,,,,,,,,,,,
2014/01/03 12:00,2014/01/03 12:00,0.322,0.272,0.086,7.47,0,,,,,,,,,,,,,
2014/01/03 13:00,2014/01/03 13:00,0.288,0.229,0.092,7.299,0,,,,,,,,,,,,,
2014/01/03 14:00,2014/01/03 14:00,0.262,0.225,0.068,6.932,0,,,,,,,,,,,,,
2014/01/03 15:00,2014/01/03 15:00,0.059,0.05,0.029,6.502,0,,,,,,,,,,,,,
2014/01/03 16:00,2014/01/03 16:00,0,0,0,5.983,0,,,,,,,,,,,,,
2014/01/03 17:00,2014/01/03 17:00,0,0,0,5.517,0,,,,,,,,,,,,,
2014/01/03 18:00,2014/01/03 18:00,0,0,0,5.379,0,,,,,,,,,,,,,
2014/01/03 19:00,2014/01/03 19:00,0,0,0,5.581,0,,,,,,,,,,,,,
2014/01/03 20:00,2014/01/03 20:00,0,0,0,5.782,0,,,,,,,,,,,,,
2014/01/03 21:00,2014/01/03 21:00,0,0,0,5.963,0,,,,,,,,,,,,,
2014/01/03 22:00,2014/01/03 22:00,0,0,0,6.058,0,,,,,,,,,,,,,
2014/01/03 23:00,2014/01/03 23:00,0,0,0,5.844,0,,,,,,,,,,,,,
2014/01/04 00:00,2014/01/04 00:00,0,0,0,5.265,0,,,,,,,,,,,,,
2014/01/04 01:00,2014/01/04 01:00,0,0,0,4.481,0,,,,,,,,,,,,,
2014/01/04 02:00,2014/01/04 02:00,0,0,0,3.52,0,,,,,,,,,,,,,
2014/01/04 03:00,2014/01/04 03:00,0,0,0,2.907,0,,,,,,,,,,,,,
2014/01/04 04:00,2014/01/04 04:00,0,0,0,2.947,0,,,,,,,,,,,,,
2014/01/04 05:00,2014/01/04 05:00,0,0,0,3.099,0,,,,,,,,,,,,,
2014/01/04 06:00,2014/01/04 06:00,0,0,0,3.58,0,,,,,,,,,,,,,
2014/01/04 07:00,2014/01/04 07:00,0,0,0,4.025,0,,,,,,,,,,,,,
