Wavelength,Abs,PL
188.288,-0.27,
188.764,-0.27,
189.24,-0.27,
189.717,-0.26,
190.193,-0.19,
190.669,-0.19,
191.145,-0.08,
191.622,-0.19,
192.098,-0.39,
192.574,-0.68,
193.05,-1.22,
193.526,-0.51,
194.002,-0.19,
194.479,-0.08,
194.955,-0.08,
195.431,-0.38,
195.907,-0.52,
196.383,-0.19,
196.859,-1.06,
197.335,-0.19,
197.811,-0.33,
198.287,-0.1,
198.763,-0.19,
199.239,-0.46,
199.715,-0.19,
200.191,0.23,
200.667,0.8,
201.143,0.61,
201.619,0.5,
202.094,0.67,
202.57,0.72,
203.046,0.28,
203.522,0.68,
203.998,-0.19,
204.474,0.93,
204.949,0.68,
205.425,0.7,
205.901,0.81,
206.377,0.83,
206.852,0.64,
207.328,0.65,
207.804,0.66,
208.279,0.44,
208.755,-0.19,
209.231,0.42,
209.706,0.86,
210.182,0.79,
210.657,0.46,
211.133,0.85,
211.608,1.27,
212.084,1.24,
212.559,0.39,
213.035,0.68,
213.51,1.18,
213.986,0.91,
214.461,0.61,
214.937,-0.19,
215.412,0.77,
215.888,0.6,
216.363,0.4,
216.838,0.59,
217.314,0.69,
217.789,0.75,
218.264,1.1,
218.74,0.36,
219.215,0.52,
219.69,-0.19,
220.165,0.61,
220.641,-0.19,
221.116,0.92,
221.591,0.85,
222.066,0.78,
222.541,0.51,
223.016,0.62,
223.492,0.8,
223.967,0.43,
224.442,0.78,
224.917,0.82,
225.392,0.92,
225.867,0.44,
226.342,0.74,
226.817,-0.19,
227.292,0.33,
227.767,0.39,
228.242,0.82,
228.717,0.45,
229.192,1.89,
229.667,0.49,
230.142,0.81,
230.617,0.61,
231.091,1.47,
231.566,0.51,
232.041,0.67,
232.516,0.32,
232.991,1.11,
233.465,1.06,
233.94,0.25,
234.415,0.33,
234.89,-0.19,
235.364,0.25,
235.839,-0.19,
236.314,0.72,
236.788,0.32,
237.263,0.46,
237.738,0.39,
238.212,0.34,
238.687,0.26,
239.161,0.41,
239.636,0.4,
240.11,0.49,
240.585,-0.19,
241.059,0.51,
241.534,0.28,
242.008,0.46,
242.483,0.45,
