# Renewables.ninja Solar PV (Point API) - 53.381, -1.486 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""53.381"""," ""lon"": ""-1.486"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2015 00:00,01/01/2015 00:00,0,0,0,5.607,,,,,,,,,,,,,
01/01/2015 01:00,01/01/2015 01:00,0,0,0,5.669,,,,,,,,,,,,,
01/01/2015 02:00,01/01/2015 02:00,0,0,0,5.711,,,,,,,,,,,,,
01/01/2015 03:00,01/01/2015 03:00,0,0,0,5.946,,,,,,,,,,,,,
01/01/2015 04:00,01/01/2015 04:00,0,0,0,6.123,,,,,,,,,,,,,
01/01/2015 05:00,01/01/2015 05:00,0,0,0,6.378,,,,,,,,,,,,,
01/01/2015 06:00,01/01/2015 06:00,0,0,0,6.765,,,,,,,,,,,,,
01/01/2015 07:00,01/01/2015 07:00,0,0,0,7.218,,,,,,,,,,,,,
01/01/2015 08:00,01/01/2015 08:00,0,0,0.001,7.556,,,,,,,,,,,,,
01/01/2015 09:00,01/01/2015 09:00,0.009,0.002,0.018,7.811,,,,,,,,,,,,,
01/01/2015 10:00,01/01/2015 10:00,0.043,0.008,0.052,8.325,,,,,,,,,,,,,
01/01/2015 11:00,01/01/2015 11:00,0.049,0.008,0.059,8.881,,,,,,,,,,,,,
01/01/2015 12:00,01/01/2015 12:00,0.051,0.008,0.061,9.312,,,,,,,,,,,,,
01/01/2015 13:00,01/01/2015 13:00,0.03,0.004,0.041,9.5,,,,,,,,,,,,,
01/01/2015 14:00,01/01/2015 14:00,0.018,0.003,0.028,9.681,,,,,,,,,,,,,
01/01/2015 15:00,01/01/2015 15:00,0.001,0.001,0.005,9.85,,,,,,,,,,,,,
01/01/2015 16:00,01/01/2015 16:00,0,0,0,10.04,,,,,,,,,,,,,
01/01/2015 17:00,01/01/2015 17:00,0,0,0,10.16,,,,,,,,,,,,,
01/01/2015 18:00,01/01/2015 18:00,0,0,0,10.218,,,,,,,,,,,,,
01/01/2015 19:00,01/01/2015 19:00,0,0,0,10.376,,,,,,,,,,,,,
01/01/2015 20:00,01/01/2015 20:00,0,0,0,10.537,,,,,,,,,,,,,
01/01/2015 21:00,01/01/2015 21:00,0,0,0,10.709,,,,,,,,,,,,,
01/01/2015 22:00,01/01/2015 22:00,0,0,0,10.966,,,,,,,,,,,,,
01/01/2015 23:00,01/01/2015 23:00,0,0,0,11.048,,,,,,,,,,,,,
02/01/2015 00:00,02/01/2015 00:00,0,0,0,10.034,,,,,,,,,,,,,
02/01/2015 01:00,02/01/2015 01:00,0,0,0,8.028,,,,,,,,,,,,,
02/01/2015 02:00,02/01/2015 02:00,0,0,0,6.594,,,,,,,,,,,,,
02/01/2015 03:00,02/01/2015 03:00,0,0,0,5.688,,,,,,,,,,,,,
02/01/2015 04:00,02/01/2015 04:00,0,0,0,4.961,,,,,,,,,,,,,
02/01/2015 05:00,02/01/2015 05:00,0,0,0,4.465,,,,,,,,,,,,,
02/01/2015 06:00,02/01/2015 06:00,0,0,0,4.145,,,,,,,,,,,,,
02/01/2015 07:00,02/01/2015 07:00,0,0,0,3.988,,,,,,,,,,,,,
02/01/2015 08:00,02/01/2015 08:00,0.007,0.011,0.006,3.935,,,,,,,,,,,,,
