# Renewables.ninja Solar PV (Point API) - 53.381, -1.486 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""53.381"""," ""lon"": ""-1.486"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
2015/01/01 00:00,01/01/2015 00:00,0,0,0,6.56,0,,,,,,,,,,,,,
2015/01/01 01:00,01/01/2015 01:00,0,0,0,6.633,0,,,,,,,,,,,,,
2015/01/01 02:00,01/01/2015 02:00,0,0,0,6.682,0,,,,,,,,,,,,,
2015/01/01 03:00,01/01/2015 03:00,0,0,0,6.957,0,,,,,,,,,,,,,
2015/01/01 04:00,01/01/2015 04:00,0,0,0,7.164,0,,,,,,,,,,,,,
2015/01/01 05:00,01/01/2015 05:00,0,0,0,7.463,0,,,,,,,,,,,,,
2015/01/01 06:00,01/01/2015 06:00,0,0,0,7.915,0,,,,,,,,,,,,,
2015/01/01 07:00,01/01/2015 07:00,0,0,0,8.445,0,,,,,,,,,,,,,
2015/01/01 08:00,01/01/2015 08:00,0,0,0,8.84,0,,,,,,,,,,,,,
2015/01/01 09:00,01/01/2015 09:00,0.003,0,0.012,9.139,0,,,,,,,,,,,,,
2015/01/01 10:00,01/01/2015 10:00,0.028,0.002,0.042,9.741,0,,,,,,,,,,,,,
2015/01/01 11:00,01/01/2015 11:00,0.061,0.008,0.074,10.391,0,,,,,,,,,,,,,
2015/01/01 12:00,01/01/2015 12:00,0.083,0.017,0.089,10.896,0,,,,,,,,,,,,,
2015/01/01 13:00,01/01/2015 13:00,0.057,0.007,0.071,11.116,0,,,,,,,,,,,,,
2015/01/01 14:00,01/01/2015 14:00,0.03,0.003,0.044,11.327,0,,,,,,,,,,,,,
2015/01/01 15:00,01/01/2015 15:00,0.002,0,0.009,11.525,0,,,,,,,,,,,,,
2015/01/01 16:00,01/01/2015 16:00,0,0,0,11.747,0,,,,,,,,,,,,,
2015/01/01 17:00,01/01/2015 17:00,0,0,0,11.888,0,,,,,,,,,,,,,
2015/01/01 18:00,01/01/2015 18:00,0,0,0,11.955,0,,,,,,,,,,,,,
2015/01/01 19:00,01/01/2015 19:00,0,0,0,12.141,0,,,,,,,,,,,,,
2015/01/01 20:00,01/01/2015 20:00,0,0,0,12.329,0,,,,,,,,,,,,,
2015/01/01 21:00,01/01/2015 21:00,0,0,0,12.531,0,,,,,,,,,,,,,
2015/01/01 22:00,01/01/2015 22:00,0,0,0,12.831,0,,,,,,,,,,,,,
2015/01/01 23:00,01/01/2015 23:00,0,0,0,12.927,0,,,,,,,,,,,,,
2015/01/02 00:00,02/01/2015 00:00,0,0,0,11.74,0,,,,,,,,,,,,,
2015/01/02 01:00,02/01/2015 01:00,0,0,0,9.393,0,,,,,,,,,,,,,
2015/01/02 02:00,02/01/2015 02:00,0,0,0,7.715,0,,,,,,,,,,,,,
2015/01/02 03:00,02/01/2015 03:00,0,0,0,6.656,0,,,,,,,,,,,,,
2015/01/02 04:00,02/01/2015 04:00,0,0,0,5.805,0,,,,,,,,,,,,,
2015/01/02 05:00,02/01/2015 05:00,0,0,0,5.224,0,,,,,,,,,,,,,
2015/01/02 06:00,02/01/2015 06:00,0,0,0,4.85,0,,,,,,,,,,,,,
2015/01/02 07:00,02/01/2015 07:00,0,0,0,4.666,0,,,,,,,,,,,,,
2015/01/02 08:00,02/01/2015 08:00,0,0,0,4.604,0,,,,,,,,,,,,,
2015/01/02 09:00,02/01/2015 09:00,0.091,0.086,0.026,5.031,0,,,,,,,,,,,,,
2015/01/02 10:00,02/01/2015 10:00,0.297,0.274,0.055,5.786,0,,,,,,,,,,,,,
2015/01/02 11:00,02/01/2015 11:00,0.408,0.377,0.074,6.386,0,,,,,,,,,,,,,
