# Renewables.ninja Solar PV (Point API) - 59.950, 30.316 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Moscow, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Moscow"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""59.9498"""," ""lon"": ""30.3163"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2015/01/01 00:00,2015/01/01 03:00,0,0,0,-0.237,,,,,,,,,,,,,
2015/01/01 01:00,2015/01/01 04:00,0,0,0,-0.076,,,,,,,,,,,,,
2015/01/01 02:00,2015/01/01 05:00,0,0,0,0.003,,,,,,,,,,,,,
2015/01/01 03:00,2015/01/01 06:00,0,0,0,0.065,,,,,,,,,,,,,
2015/01/01 04:00,2015/01/01 07:00,0,0,0,0.127,,,,,,,,,,,,,
2015/01/01 05:00,2015/01/01 08:00,0,0,0,0.138,,,,,,,,,,,,,
2015/01/01 06:00,2015/01/01 09:00,0,0,0,0.146,,,,,,,,,,,,,
2015/01/01 07:00,2015/01/01 10:00,0,0.001,0.003,0.142,,,,,,,,,,,,,
2015/01/01 08:00,2015/01/01 11:00,0.006,0.002,0.014,0.145,,,,,,,,,,,,,
2015/01/01 09:00,2015/01/01 12:00,0.012,0.002,0.022,0.161,,,,,,,,,,,,,
2015/01/01 10:00,2015/01/01 13:00,0.008,0.001,0.017,0.177,,,,,,,,,,,,,
2015/01/01 11:00,2015/01/01 14:00,0.004,0.001,0.011,0.209,,,,,,,,,,,,,
2015/01/01 12:00,2015/01/01 15:00,0,0,0.002,0.235,,,,,,,,,,,,,
2015/01/01 13:00,2015/01/01 16:00,0,0,0,0.263,,,,,,,,,,,,,
2015/01/01 14:00,2015/01/01 17:00,0,0,0,0.249,,,,,,,,,,,,,
2015/01/01 15:00,2015/01/01 18:00,0,0,0,0.194,,,,,,,,,,,,,
2015/01/01 16:00,2015/01/01 19:00,0,0,0,0.193,,,,,,,,,,,,,
2015/01/01 17:00,2015/01/01 20:00,0,0,0,0.216,,,,,,,,,,,,,
2015/01/01 18:00,2015/01/01 21:00,0,0,0,0.255,,,,,,,,,,,,,
2015/01/01 19:00,2015/01/01 22:00,0,0,0,0.296,,,,,,,,,,,,,
2015/01/01 20:00,2015/01/01 23:00,0,0,0,0.317,,,,,,,,,,,,,
2015/01/01 21:00,2015/01/02 00:00,0,0,0,0.333,,,,,,,,,,,,,
2015/01/01 22:00,2015/01/02 01:00,0,0,0,0.367,,,,,,,,,,,,,
2015/01/01 23:00,2015/01/02 02:00,0,0,0,0.481,,,,,,,,,,,,,
2015/01/02 00:00,2015/01/02 03:00,0,0,0,0.66,,,,,,,,,,,,,
2015/01/02 01:00,2015/01/02 04:00,0,0,0,0.712,,,,,,,,,,,,,
2015/01/02 02:00,2015/01/02 05:00,0,0,0,0.668,,,,,,,,,,,,,
2015/01/02 03:00,2015/01/02 06:00,0,0,0,0.738,,,,,,,,,,,,,
2015/01/02 04:00,2015/01/02 07:00,0,0,0,0.595,,,,,,,,,,,,,
2015/01/02 05:00,2015/01/02 08:00,0,0,0,0.488,,,,,,,,,,,,,
2015/01/02 06:00,2015/01/02 09:00,0,0,0,0.403,,,,,,,,,,,,,
2015/01/02 07:00,2015/01/02 10:00,0,0,0.002,0.339,,,,,,,,,,,,,
2015/01/02 08:00,2015/01/02 11:00,0,0,0.005,0.321,,,,,,,,,,,,,
2015/01/02 09:00,2015/01/02 12:00,0.001,0,0.007,0.371,,,,,,,,,,,,,
2015/01/02 10:00,2015/01/02 13:00,0.003,0,0.01,0.376,,,,,,,,,,,,,
