time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015/01/01 00:00,01/01/2015 00:00,0,0,0,7.116,0
2015/01/01 01:00,01/01/2015 01:00,0,0,0,7.059,0
2015/01/01 02:00,01/01/2015 02:00,0,0,0,7.394,0
2015/01/01 03:00,01/01/2015 03:00,0,0,0,7.916,0
2015/01/01 04:00,01/01/2015 04:00,0,0,0,8.314,0
2015/01/01 05:00,01/01/2015 05:00,0,0,0,8.481,0
2015/01/01 06:00,01/01/2015 06:00,0,0,0,8.642,0
2015/01/01 07:00,01/01/2015 07:00,0,0,0,9.06,0
2015/01/01 08:00,01/01/2015 08:00,0,0,0,9.353,0
2015/01/01 09:00,01/01/2015 09:00,0.002,0,0.01,9.718,0
2015/01/01 10:00,01/01/2015 10:00,0.023,0.001,0.038,10.294,0
2015/01/01 11:00,01/01/2015 11:00,0.048,0.003,0.065,10.807,0
2015/01/01 12:00,01/01/2015 12:00,0.087,0.019,0.092,11.06,0
2015/01/01 13:00,01/01/2015 13:00,0.034,0.001,0.051,11.281,0
2015/01/01 14:00,01/01/2015 14:00,0.012,0,0.025,11.616,0
2015/01/01 15:00,01/01/2015 15:00,0.002,0,0.01,11.796,0
2015/01/01 16:00,01/01/2015 16:00,0,0,0,11.891,0
2015/01/01 17:00,01/01/2015 17:00,0,0,0,11.981,0
2015/01/01 18:00,01/01/2015 18:00,0,0,0,12.121,0
2015/01/01 19:00,01/01/2015 19:00,0,0,0,12.266,0
2015/01/01 20:00,01/01/2015 20:00,0,0,0,12.4,0
2015/01/01 21:00,01/01/2015 21:00,0,0,0,12.61,0
2015/01/01 22:00,01/01/2015 22:00,0,0,0,12.89,0
2015/01/01 23:00,01/01/2015 23:00,0,0,0,13.009,0
2015/01/02 00:00,02/01/2015 00:00,0,0,0,12.418,0
2015/01/02 01:00,02/01/2015 01:00,0,0,0,10.56,0
2015/01/02 02:00,02/01/2015 02:00,0,0,0,8.549,0
2015/01/02 03:00,02/01/2015 03:00,0,0,0,7.417,0
2015/01/02 04:00,02/01/2015 04:00,0,0,0,6.549,0
2015/01/02 05:00,02/01/2015 05:00,0,0,0,5.742,0
2015/01/02 06:00,02/01/2015 06:00,0,0,0,5.098,0
2015/01/02 07:00,02/01/2015 07:00,0,0,0,4.598,0
2015/01/02 08:00,02/01/2015 08:00,0,0,0,4.409,0
2015/01/02 09:00,02/01/2015 09:00,0.048,0.039,0.027,5.091,0
2015/01/02 10:00,02/01/2015 10:00,0.289,0.261,0.059,6.146,0
2015/01/02 11:00,02/01/2015 11:00,0.448,0.425,0.072,6.961,0
2015/01/02 12:00,02/01/2015 12:00,0.46,0.425,0.087,7.197,0
2015/01/02 13:00,02/01/2015 13:00,0.446,0.411,0.083,6.977,0
2015/01/02 14:00,02/01/2015 14:00,0.309,0.268,0.074,6.294,0
2015/01/02 15:00,02/01/2015 15:00,0.117,0.101,0.038,4.558,0
2015/01/02 16:00,02/01/2015 16:00,0,0,0,2.722,0
2015/01/02 17:00,02/01/2015 17:00,0,0,0,2.318,0
2015/01/02 18:00,02/01/2015 18:00,0,0,0,2.365,0
2015/01/02 19:00,02/01/2015 19:00,0,0,0,1.354,0
2015/01/02 20:00,02/01/2015 20:00,0,0,0,1.218,0
2015/01/02 21:00,02/01/2015 21:00,0,0,0,2.164,0
2015/01/02 22:00,02/01/2015 22:00,0,0,0,2.436,0
2015/01/02 23:00,02/01/2015 23:00,0,0,0,2.569,0
2015/01/03 00:00,03/01/2015 00:00,0,0,0,2.766,0
2015/01/03 01:00,03/01/2015 01:00,0,0,0,2.902,0
2015/01/03 02:00,03/01/2015 02:00,0,0,0,2.924,0
2015/01/03 03:00,03/01/2015 03:00,0,0,0,2.9,0
2015/01/03 04:00,03/01/2015 04:00,0,0,0,2.938,0
2015/01/03 05:00,03/01/2015 05:00,0,0,0,2.882,0
2015/01/03 06:00,03/01/2015 06:00,0,0,0,2.695,0
2015/01/03 07:00,03/01/2015 07:00,0,0,0,2.368,0
2015/01/03 08:00,03/01/2015 08:00,0,0,0,1.776,0
2015/01/03 09:00,03/01/2015 09:00,0.003,0,0.011,1.393,0
